id,product_id,user_name,rating,review_text,created_at,features
4,1,Jason Smith,5,Incredible sound! I love the Vyron DeepSound Enhancement technology; it makes my music feel richer and more immersive. The comfort is perfect for long listening sessions and I appreciate the quick charging feature which is super handy. Plus the ability to connect to two devices at once is a game changer! Total win!,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Vyron DeepSound Enhancement technology makes music feel richer and more immersive"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Perfect for long listening sessions"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
5,1,Lisa White,4,Pretty solid headphones! The design is sleek and modern and theyre surprisingly lightweight. The battery life is impressive too! My only gripe is that they dont quite block out outside noise as much as I expected. Otherwise they perform wonderfully and Ive enjoyed using them for both music and calls. Definitely worth the investment.,2023-10-01,"{""Mic"": ""Good for calls"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Lightweight"", ""Batterylife"": ""Impressive"", ""NoiseCancellation"": ""Doesn't block out outside noise as much as expected""}"
6,1,Chris Davis,2,While the sound is decent I was disappointed with the build quality. They feel a bit flimsy and the ear cushions started to wear out after just a month. I expected more from this brand given the price point. Theyre okay for casual use but if youre serious about audio quality you might want to look elsewhere.,2023-10-01,"{""Mic"": """", ""EQmodes"": """", ""DeepBass"": """", ""Foldable"": """", ""playtime"": """", ""ComfortFit"": """", ""Batterylife"": """", ""NoiseCancellation"": """"}"
7,1,Rachel Green,5,Absolutely loving my new Vyron headphones! The ease of use is fantastic and setup was a breeze. The audio quality is crystal clear and the ability to switch between devices seamlessly is a huge plus. Theyre very lightweight making them perfect for long study sessions. Ive even recommended them to a few friends already!,2023-10-01,"{""Mic"": """", ""EQmodes"": """", ""DeepBass"": """", ""Foldable"": """", ""playtime"": """", ""ComfortFit"": ""lightweight, perfect for long study sessions"", ""Batterylife"": """", ""NoiseCancellation"": """"}"
8,1,Andrew Martin,1,I bought these headphones hoping for great sound but what I got was a headache. They stopped working after two weeks and customer support was a nightmare to deal with. I wouldnt recommend these to anyone. Its frustrating when a product doesnt match its premium price tag. Total letdown!,2023-10-01,"{""Mic"": """", ""EQmodes"": """", ""DeepBass"": """", ""Foldable"": """", ""playtime"": """", ""ComfortFit"": """", ""Batterylife"": """", ""NoiseCancellation"": """"}"
9,1,Karen Lee,4,These headphones are generally impressive. The battery life is outstanding and lasts through several long sessions without needing a charge. I love the lightweight design but I do wish the microphone was clearer during calls. Still for listening to music and movies they perform really well. Good buy!,2023-10-01,"{""Mic"": ""Microphone could be clearer during calls."", ""EQmodes"": ""Not mentioned."", ""DeepBass"": ""Not mentioned."", ""Foldable"": ""Not mentioned."", ""playtime"": ""Several long sessions."", ""ComfortFit"": ""Lightweight design."", ""Batterylife"": ""Outstanding and lasts through several long sessions without needing a charge."", ""NoiseCancellation"": ""Not mentioned.""}"
10,1,Thomas Anderson,3,Theyre fine for casual use. The design is sleek and modern and they dont feel heavy on my head. However the app to adjust EQ settings is a bit glitchy at times which can be frustrating. Overall they do the job but I think there are better options out there for the price.,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""The app to adjust EQ settings is glitchy"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""They don't feel heavy on the head"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
11,1,Jennifer Martinez,5,These headphones have transformed my music experience! The rich crisp sound is phenomenal and makes every song an adventure. The battery life is so long; Ive used them throughout long flights without needing a charge. Plus theyre so comfy I forget Im wearing them sometimes. Do yourself a favor and try these!,2023-10-01,"{""Mic"": ""not explicitly mentioned"", ""EQmodes"": ""not explicitly mentioned"", ""DeepBass"": ""not explicitly mentioned"", ""Foldable"": ""not explicitly mentioned"", ""playtime"": ""not explicitly mentioned"", ""ComfortFit"": ""so comfy I forget I'm wearing them"", ""Batterylife"": ""long; suitable for long flights without needing a charge"", ""NoiseCancellation"": ""not explicitly mentioned""}"
12,1,Daniel Harris,2,Disappointed with my purchase. The plastic feels cheap and the audio quality isnt as good as advertised. They do connect easily to devices but the overall experience was underwhelming. I expected much better quality especially considering their price. They might work for casual listening but theyre not what I hoped for.,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Not mentioned"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
13,1,Megan Thompson,4,Solid headphones with a great sound. The features like dual device connectivity and customizable EQ settings are super handy. Theyre comfortable enough though I had a bit of trouble with the padding—it could be a little more cushioned. Overall though Im satisfied with my purchase for the price.,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Customizable EQ settings"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Comfortable enough, though the padding could be more cushioned"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
14,1,Kevin Robinson,3,These headphones are just average. While the sound is decent they didnt wow me as I expected. Connectivity is good but sometimes it disconnects unexpectedly. The weight is nice for portability but the materials feel like they might not hold up over time. Theyre okay if youre not looking for something too fancy.,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Not mentioned"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
15,1,Rachel Lopez,5,These headphones are phenomenal! The battery life is unreal; I can listen to music for days without worrying about charging them. I love the sound customization options through the app letting me set my audio to my liking. Plus the comfort is outstanding perfect for long hours at work. Highly recommend!,2023-10-01,"{""Mic"": ""Not mentioned in the document."", ""EQmodes"": ""Sound customization options are available through the app."", ""DeepBass"": ""Not mentioned in the document."", ""Foldable"": ""Not mentioned in the document."", ""playtime"": ""The playtime is described as lasting for days without charging."", ""ComfortFit"": ""The comfort is described as 'outstanding', suitable for long hours of use."", ""Batterylife"": ""The battery life is described as 'unreal', allowing for days of use without charging."", ""NoiseCancellation"": ""Not mentioned in the document.""}"
16,1,Jason Wilson,1,Terribly unhappy with this product. The sound quality is mediocre at best and Ive experienced multiple disconnections while using them. Customer service did not help me when I reached out regarding the issues. I did not expect to spend this much and end up with such a frustrating experience. Definitely would not recommend.,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Not mentioned"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
17,1,Jessica White,4,The Vyron headphones are stylish and lightweight which I love! They pair effortlessly with my phone and the audio quality is crisp and clear. However the button controls take a bit of getting used to. Once I figured it out I enjoyed them. Great option for budget-conscious buyers!,2023-10-01,"{""Mic"": """", ""EQmodes"": """", ""DeepBass"": """", ""Foldable"": """", ""playtime"": """", ""ComfortFit"": """", ""Batterylife"": """", ""NoiseCancellation"": """"}"
18,1,Anthony King,3,Decent pair of headphones. I like the sound quality but they dont isolate background noise well. The design is attractive and I find them comfortable for short sessions but they can become a bit uncomfortable after extended use. Overall they offer some good features but they could be improved in the comfort department.,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Comfortable for short sessions, but can become uncomfortable after extended use"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""They don't isolate background noise well""}"
19,1,Olivia Garcia,5,Absolutely stellar product! I was looking for a lightweight and comfortable pair of headphones and these exceeded my expectations. The sound quality is absolutely exceptional with deep bass and clear highs. Plus they last for days on a single charge. I highly recommend these for anyone who loves music!,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""deep bass"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""lightweight and comfortable"", ""Batterylife"": ""last for days on a single charge"", ""NoiseCancellation"": ""Not mentioned""}"
20,1,Paul Martinez,1,Really disappointed. They broke after a month of casual use. The sound quality was mediocre and they started disconnecting randomly. Trying to resolve this through customer support was frustrating; they were unhelpful. I expected much more based on the positive reviews. Save your money!,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""Not mentioned"", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
21,1,Kelly Hall,2,Not the best purchase Ive made. They look nice and are easy to use but the sound isnt as great as I had hoped. They also dont fit as snugly as Id like leading to sound leakage. I can use them for light listening but for serious music lovers I would suggest looking elsewhere.,2023-10-01,"{""Mic"": ""Not mentioned"", ""EQmodes"": ""Not mentioned"", ""DeepBass"": ""Not mentioned"", ""Foldable"": ""Not mentioned"", ""playtime"": ""Not mentioned"", ""ComfortFit"": ""They don't fit as snugly as desired, leading to sound leakage."", ""Batterylife"": ""Not mentioned"", ""NoiseCancellation"": ""Not mentioned""}"
